v,t,w,lm,E_valence_M,E_conduction_M,Delta_M,m_M,2abs_m_M
0.6880000000000002,0.3,1.0,0.0,0.28800000000000003,0.31199999999999944,0.02399999999999941,-0.011999999999999789,0.023999999999999577
0.6890000000000002,0.3,1.0,0.0,0.2890000000000003,0.31099999999999983,0.02199999999999952,-0.010999999999999899,0.021999999999999797
0.6900000000000002,0.3,1.0,0.0,0.29,0.3099999999999997,0.01999999999999974,-0.009999999999999787,0.019999999999999574
0.6910000000000002,0.3,1.0,0.0,0.2910000000000003,0.3089999999999997,0.017999999999999405,-0.008999999999999897,0.017999999999999794
0.6920000000000002,0.3,1.0,0.0,0.29200000000000015,0.30799999999999955,0.015999999999999404,-0.007999999999999785,0.01599999999999957
0.6930000000000002,0.3,1.0,0.0,0.29300000000000026,0.30699999999999966,0.013999999999999402,-0.006999999999999895,0.01399999999999979
0.6940000000000002,0.3,1.0,0.0,0.294,0.3059999999999999,0.0119999999999999,-0.005999999999999783,0.011999999999999567
0.6950000000000002,0.3,1.0,0.0,0.2950000000000004,0.30499999999999994,0.009999999999999565,-0.004999999999999893,0.009999999999999787
0.6960000000000002,0.3,1.0,0.0,0.2960000000000003,0.30399999999999994,0.007999999999999619,-0.0039999999999997815,0.007999999999999563
0.6970000000000002,0.3,1.0,0.0,0.2970000000000002,0.30299999999999955,0.005999999999999339,-0.0029999999999998916,0.005999999999999783
0.6980000000000002,0.3,1.0,0.0,0.2980000000000001,0.30199999999999966,0.0039999999999995595,-0.0019999999999997797,0.0039999999999995595
0.6990000000000002,0.3,1.0,0.0,0.2990000000000002,0.3009999999999999,0.0019999999999996687,-0.0009999999999998899,0.0019999999999997797
0.7000000000000002,0.3,1.0,0.0,0.2999999999999999,0.3000000000000004,4.996003610813204e-16,2.220446049250313e-16,4.440892098500626e-16
0.7010000000000002,0.3,1.0,0.0,0.2989999999999998,0.30100000000000005,0.002000000000000224,0.001000000000000112,0.002000000000000224
0.7020000000000002,0.3,1.0,0.0,0.29799999999999977,0.30200000000000016,0.004000000000000392,0.002000000000000224,0.004000000000000448
0.7030000000000002,0.3,1.0,0.0,0.29700000000000004,0.30300000000000027,0.006000000000000227,0.0030000000000001137,0.006000000000000227
0.7040000000000002,0.3,1.0,0.0,0.2959999999999999,0.3040000000000002,0.00800000000000034,0.004000000000000226,0.008000000000000451
0.7050000000000002,0.3,1.0,0.0,0.2949999999999999,0.30500000000000005,0.010000000000000175,0.0050000000000001155,0.010000000000000231
0.7060000000000002,0.3,1.0,0.0,0.2939999999999996,0.3060000000000003,0.012000000000000732,0.006000000000000227,0.012000000000000455
0.7070000000000002,0.3,1.0,0.0,0.2929999999999999,0.3070000000000003,0.014000000000000346,0.007000000000000117,0.014000000000000234
0.7080000000000002,0.3,1.0,0.0,0.29199999999999976,0.30800000000000016,0.016000000000000403,0.00800000000000023,0.01600000000000046
0.7090000000000002,0.3,1.0,0.0,0.2909999999999998,0.309,0.018000000000000183,0.009000000000000119,0.018000000000000238
0.7100000000000002,0.3,1.0,0.0,0.28999999999999987,0.31000000000000033,0.020000000000000462,0.010000000000000231,0.020000000000000462
0.7110000000000002,0.3,1.0,0.0,0.28899999999999976,0.311,0.02200000000000024,0.01100000000000012,0.02200000000000024
0.7120000000000002,0.3,1.0,0.0,0.28799999999999976,0.31200000000000006,0.0240000000000003,0.012000000000000233,0.024000000000000465
0.7130000000000002,0.3,1.0,0.0,0.2869999999999996,0.31300000000000017,0.026000000000000578,0.013000000000000123,0.026000000000000245
0.7140000000000002,0.3,1.0,0.0,0.28600000000000014,0.31400000000000006,0.027999999999999914,0.014000000000000234,0.02800000000000047
0.7150000000000002,0.3,1.0,0.0,0.2850000000000002,0.3150000000000003,0.030000000000000082,0.015000000000000124,0.03000000000000025
0.7160000000000002,0.3,1.0,0.0,0.28399999999999986,0.3160000000000001,0.03200000000000025,0.016000000000000236,0.03200000000000047
0.7170000000000002,0.3,1.0,0.0,0.2829999999999999,0.3170000000000001,0.0340000000000002,0.017000000000000126,0.03400000000000025
