point_id,v,t,lm,gap,chern,z2,edge_state,corner_state,Wilson_loop,category
v_0p20_t_1p00_lm_0p70,0.2,1.0,0.7,0.7999999999999986,7.217998858715236e-17,1,0,0,-0.7658244706671773,robust_nontrivial
v_0p20_t_1p00_lm_0p80,0.2,1.0,0.8,1.1999999999999984,-3.3131993398861597e-16,1,0,0,-0.7484713336393366,robust_nontrivial
v_0p20_t_1p00_lm_0p90,0.2,1.0,0.9,1.3999999999999981,4.539875299648299e-16,1,0,0,-1.2763690981748845,robust_nontrivial
v_0p30_t_0p00_lm_0p10,0.3,0.0,0.1,1.1999999999999984,1.3316701524216498e-17,1,0,0,2.9858660359793747,robust_nontrivial
v_0p30_t_0p00_lm_0p20,0.3,0.0,0.2,0.9999999999999993,-3.014766496198305e-17,1,0,0,-0.5227619163176077,robust_nontrivial
v_0p30_t_0p00_lm_0p30,0.3,0.0,0.3,0.7999999999999985,-4.10380657247658e-17,1,0,0,0.8004982294418543,robust_nontrivial
v_0p30_t_0p00_lm_0p40,0.3,0.0,0.4,0.3999999999999992,-6.651562849203835e-17,1,0,0,1.4624979986857678,robust_nontrivial
v_0p30_t_0p00_lm_0p50,0.3,0.0,0.5,-5.551115123125783e-16,1.1838650851988666e-16,0,1,0,2.2941288951388716,near_transition
v_0p30_t_0p10_lm_0p20,0.3,0.1,0.2,0.7999999999999998,-7.215052500706683e-17,1,0,0,-0.6133218368800588,robust_nontrivial
v_0p30_t_0p10_lm_0p50,0.3,0.1,0.5,-1.1102230246251565e-16,1.643180167204162e-16,0,1,0,-0.2374903149250669,near_transition
v_0p30_t_0p20_lm_0p00,0.3,0.2,0.0,0.9999999999999987,-1.4626022612671472e-16,1,0,0,-1.0080871993859566,robust_nontrivial
v_0p30_t_0p20_lm_0p10,0.3,0.2,0.1,0.7999999999999993,2.3139197849957723e-16,1,0,0,0.5154882363216147,robust_nontrivial
v_0p30_t_0p20_lm_0p20,0.3,0.2,0.2,0.5999999999999994,1.855563433212936e-16,1,0,0,-0.5028433913548104,robust_nontrivial
v_0p30_t_0p20_lm_0p30,0.3,0.2,0.3,0.3999999999999997,2.1959276441172937e-16,1,0,0,-0.9481536978624043,robust_nontrivial
v_0p30_t_0p20_lm_0p50,0.3,0.2,0.5,-8.326672684688674e-16,-3.054005257920207e-16,1,1,0,-1.02440707722029,near_transition
v_0p30_t_0p30_lm_0p20,0.3,0.3,0.2,0.39999999999999925,-1.850725878453076e-16,1,0,0,0.7702329913974303,robust_nontrivial
v_0p30_t_0p30_lm_0p30,0.3,0.3,0.3,0.19999999999999946,6.300538245089492e-17,1,0,0,-0.5741115641418182,robust_nontrivial
v_0p30_t_0p30_lm_0p40,0.3,0.3,0.4,8.326672684688674e-17,-2.64611164610975e-16,1,1,0,0.9845020232849558,near_transition
