v,alpha,state_index,rank_by_absE,energy,abs_energy,W_corner,W_edge,W_bulk,IPR
0.6,0.0,46,6,-0.03339545278646815,0.03339545278646815,0.022153244888989593,0.6970932852549134,0.2807534698560954,0.05844064794952367
0.6,0.0,53,7,0.03339545278646837,0.03339545278646837,0.02215324488899078,0.6970932852549138,0.28075346985609523,0.05844064794952323
0.6,0.25,50,0,0.00239846910329908,0.00239846910329908,0.34999599135327186,0.5820292429055484,0.06797476574117958,0.09612666369907627
0.6,0.25,51,1,0.004981013338530992,0.004981013338530992,0.3194892225334753,0.5504723248115622,0.13003845265496286,0.07067328050324252
0.6,0.25,52,2,0.005162623844021152,0.005162623844021152,0.069709321175733,0.6645484556805141,0.26574222314375334,0.048218574134774476
0.6,0.25,53,3,0.007765351489868795,0.007765351489868795,0.06406206159451341,0.679155569995977,0.25678236840951146,0.07195667634524255
0.6,0.25,54,4,0.017357103859675087,0.017357103859675087,0.171269958705874,0.5916882881700616,0.23704175312406478,0.05872176857430642
0.6,0.25,55,5,0.018979115539409827,0.018979115539409827,0.11321146984446122,0.5956554870308479,0.29113304312469107,0.0588450065351036
0.6,0.25,49,6,-0.030419425687937096,0.030419425687937096,0.16168513837193854,0.5842438298704223,0.25407103175763907,0.05175222174661963
0.6,0.25,56,7,0.03203045656237411,0.03203045656237411,0.18977974576054046,0.5527657186693226,0.25745453557013764,0.05510044196844724
0.6,0.5,53,0,-0.006523985206841026,0.006523985206841026,0.19041815793825811,0.5856937750479146,0.2238880670138273,0.06114137530928552
0.6,0.5,54,1,0.006542367447384969,0.006542367447384969,0.3429845502362313,0.5651414930583266,0.09187395670544163,0.08718602363519987
0.6,0.5,52,2,-0.014409706647893204,0.014409706647893204,0.18537873988999418,0.5997617518145941,0.2148595082954119,0.05781457842284052
0.6,0.5,55,3,0.014881466923629868,0.014881466923629868,0.13055728931726385,0.5764788953979832,0.29296381528475335,0.05089367038453925
0.6,0.5,51,4,-0.0219491326912314,0.0219491326912314,0.05378615920979284,0.6928459283344227,0.2533679124557851,0.051442350226580016
0.6,0.5,50,5,-0.022354554912749458,0.022354554912749458,0.04161327484776868,0.6920180420650028,0.2663686830872293,0.0507346068961937
0.6,0.5,49,6,-0.03902542169245458,0.03902542169245458,0.16017061001576474,0.5957538841002431,0.2440755058839922,0.05133421398017201
0.6,0.5,48,7,-0.06847735096576546,0.06847735096576546,0.16190628359689885,0.5934306691663248,0.24466304723677584,0.06098755440035942
0.6,0.75,54,0,0.008569791631726553,0.008569791631726553,0.3537298653930837,0.5368433257676586,0.10942680883925743,0.06914009950156379
0.6,0.75,55,1,0.01136661741398375,0.01136661741398375,0.12683313265850304,0.5765810832356653,0.29658578410583136,0.04880152517279449
0.6,0.75,53,2,-0.0318582186150847,0.0318582186150847,0.19975356911656175,0.591839468706898,0.20840696217654095,0.06382552091821468
0.6,0.75,52,3,-0.036141516089460965,0.036141516089460965,0.1444564814087697,0.6290759140075262,0.22646760458370432,0.05922649525530711
0.6,0.75,51,4,-0.04863585916763052,0.04863585916763052,0.1640636963213213,0.6019949227478246,0.23394138093085398,0.050835120567556596
0.6,0.75,50,5,-0.0506272102541427,0.0506272102541427,0.049178399033743686,0.7061364155130152,0.24468518545324094,0.05261525281388976
0.6,0.75,49,6,-0.05079660456181336,0.05079660456181336,0.03354582133398657,0.7104274624297028,0.2560267162363102,0.052644503408253475
0.6,0.75,48,7,-0.06683933929662476,0.06683933929662476,0.21459726003409246,0.5763997693511183,0.20900297061478884,0.0576825986223067
0.6,1.0,54,0,0.005536270880565183,0.005536270880565183,0.3320701511856935,0.5266288223234372,0.1413010264908695,0.060865470975846436
0.6,1.0,55,1,0.005536270880565969,0.005536270880565969,0.1569248351666924,0.5725418170319634,0.2705333478013449,0.053131256915219735
0.6,1.0,53,2,-0.057784084251855904,0.057784084251855904,0.14258037257213796,0.6452733091414782,0.2121463182863843,0.08679127756396984
