point_id,v,t,lm,w,band_lower_edge,band_upper_edge,band_window_width,classification,has_edge_state,has_isolated_state,has_connecting_edge_branch,in_window_edge_state_count,ky_coverage,touches_lower,touches_upper,span_ratio,reason
v_0p80_t_0p50_lm_0p10,0.8,0.5,0.1,1.2,0.20000000000000012,0.41655250605964367,0.21655250605964355,isolated_midgap_state,1,1,0,36,0.1487603305785124,1,1,0.9240456574755109,edge_states_exist_but_not_connecting_band4_and_band5
v_0p80_t_0p50_lm_0p20,0.8,0.5,0.2,1.2,5.169411504235301e-17,0.4649110640673515,0.46491106406735144,connecting_edge_branch,1,0,1,108,0.4462809917355372,1,1,0.9711512565969911,touches_both_band_edges_with_large_span
v_0p80_t_0p50_lm_0p30,0.8,0.5,0.3,1.2,-0.2000000000000002,0.5416407864998734,0.7416407864998735,connecting_edge_branch,1,0,1,228,0.8181818181818182,1,1,0.9654471942729221,touches_both_band_edges_with_large_span
v_0p80_t_0p50_lm_0p40,0.8,0.5,0.4,1.2,-0.39999999999999997,0.5999999999999999,0.9999999999999998,connecting_edge_branch,1,0,1,308,0.7851239669421488,1,1,0.9890661157563672,touches_both_band_edges_with_large_span
v_0p80_t_0p50_lm_0p50,0.8,0.5,0.5,1.2,-0.5999999999999998,0.5999999999999995,1.1999999999999993,connecting_edge_branch,1,0,1,324,0.6694214876033058,1,1,0.9738307425660122,touches_both_band_edges_with_large_span
v_0p90_t_0p50_lm_0p00,0.9,0.5,0.0,1.1,0.19999999999999982,0.19999999999999968,-1.3877787807814457e-16,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_0p90_t_0p50_lm_0p10,0.9,0.5,0.1,1.1,1.0695485025293014e-17,0.21803398874989416,0.21803398874989416,isolated_midgap_state,1,1,0,60,0.24793388429752067,1,1,0.9842699693946583,edge_states_exist_but_not_connecting_band4_and_band5
v_0p90_t_0p50_lm_0p20,0.9,0.5,0.2,1.1,-0.20000000000000004,0.2704699910719618,0.47046999107196186,connecting_edge_branch,1,0,1,200,0.7851239669421488,1,1,0.9660593633496785,touches_both_band_edges_with_large_span
v_0p90_t_0p50_lm_0p30,0.9,0.5,0.3,1.1,-0.4000000000000002,0.35299640861416665,0.7529964086141668,connecting_edge_branch,1,0,1,312,0.7355371900826446,1,1,0.9904241211603627,touches_both_band_edges_with_large_span
v_0p90_t_0p50_lm_0p40,0.9,0.5,0.4,1.1,-0.5866068747318495,0.46014705087354363,1.046753925605393,connecting_edge_branch,1,0,1,348,0.7355371900826446,1,1,0.9864911995296919,touches_both_band_edges_with_large_span
v_0p90_t_0p50_lm_0p50,0.9,0.5,0.5,1.1,-0.5866068747318498,0.5866068747318502,1.1732137494637,connecting_edge_branch,1,0,1,332,0.6859504132231405,1,1,0.9734743503983054,touches_both_band_edges_with_large_span
v_1p00_t_0p50_lm_0p00,1.0,0.5,0.0,1.0,1.4311468676792703e-17,-4.540002713025235e-16,-4.683117399793162e-16,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_1p00_t_0p50_lm_0p10,1.0,0.5,0.1,1.0,-0.2000000000000001,0.019803902718556057,0.21980390271855615,connecting_edge_branch,1,0,1,168,0.6942148760330579,1,1,0.9967058964699453,touches_both_band_edges_with_large_span
v_1p00_t_0p50_lm_0p20,1.0,0.5,0.2,1.0,-0.3999999999999997,0.07703296142690061,0.4770329614269003,connecting_edge_branch,1,0,1,308,0.6528925619834711,1,1,0.9416000078372305,touches_both_band_edges_with_large_span
