v,lm,delta_chi_mean,delta_chi_max,r_break_mean,r_break_max,comment
0.0,0.0,0.552344770738994,0.552344770738994,0.276172385369497,0.276172385369497,No near-exact chiral candidate found; treating Gamma as approximate.
0.5,0.1,0.5503954576516605,0.9428090415820634,0.27519772882583027,0.4714045207910317,No near-exact chiral candidate found; treating Gamma as approximate.
0.51,0.1,0.5494324235857485,0.9533542596890028,0.27471621179287425,0.4766771298445014,No near-exact chiral candidate found; treating Gamma as approximate.
0.52,0.1,0.548452278933906,0.9640373590996237,0.274226139466953,0.48201867954981187,No near-exact chiral candidate found; treating Gamma as approximate.
0.53,0.1,0.5474549161209269,0.9748561431725231,0.27372745806046345,0.48742807158626156,No near-exact chiral candidate found; treating Gamma as approximate.
0.54,0.1,0.546440219274917,0.9858079419176489,0.2732201096374585,0.49290397095882443,No near-exact chiral candidate found; treating Gamma as approximate.
0.55,0.1,0.5454080641757508,0.9968895725584537,0.2727040320878754,0.49844478627922684,No near-exact chiral candidate found; treating Gamma as approximate.
0.56,0.1,0.5443583182423662,1.0080972981818899,0.2721791591211831,0.5040486490909449,No near-exact chiral candidate found; treating Gamma as approximate.
0.57,0.1,0.5432908405632414,1.0194267845622256,0.2716454202816207,0.5097133922811128,No near-exact chiral candidate found; treating Gamma as approximate.
0.58,0.1,0.5422054819746975,1.0308730552839764,0.27110274098734877,0.5154365276419882,No near-exact chiral candidate found; treating Gamma as approximate.
0.59,0.1,0.5411020851919763,1.0424304453346034,0.27055104259598817,0.5212152226673017,No near-exact chiral candidate found; treating Gamma as approximate.
0.6,0.1,0.5399804849983322,1.0540925533894596,0.2699902424991661,0.5270462766947298,No near-exact chiral candidate found; treating Gamma as approximate.
0.61,0.1,0.538840508497658,1.0658521930700846,0.269420254248829,0.5329260965350423,No near-exact chiral candidate found; treating Gamma as approximate.
0.62,0.1,0.5376819754364172,1.0777013435226057,0.2688409877182086,0.5388506717613029,No near-exact chiral candidate found; treating Gamma as approximate.
0.63,0.1,0.5365046986008692,1.0896310997357903,0.2682523493004346,0.5448155498678952,No near-exact chiral candidate found; treating Gamma as approximate.
0.64,0.1,0.5353084842957481,1.1016316230980794,0.26765424214787403,0.5508158115490397,No near-exact chiral candidate found; treating Gamma as approximate.
0.65,0.1,0.534093132910664,1.113692092779409,0.267046566455332,0.5568460463897045,No near-exact chiral candidate found; treating Gamma as approximate.
0.66,0.1,0.5328584395805291,1.125800658616094,0.26642921979026457,0.562900329308047,No near-exact chiral candidate found; treating Gamma as approximate.
0.67,0.1,0.5316041949462552,1.137944396274539,0.2658020974731276,0.5689721981372695,No near-exact chiral candidate found; treating Gamma as approximate.
0.68,0.1,0.5303301860217906,1.1501092655705905,0.2651650930108953,0.5750546327852952,No near-exact chiral candidate found; treating Gamma as approximate.
0.69,0.1,0.5290361971732769,1.1622800729240108,0.26451809858663844,0.5811400364620054,No near-exact chiral candidate found; treating Gamma as approximate.
0.7,0.1,0.5277220112156402,1.1744404390294068,0.2638610056078201,0.5872202195147034,No near-exact chiral candidate found; treating Gamma as approximate.
0.71,0.1,0.5263874106313159,1.1865727729228182,0.26319370531565794,0.5932863864614091,No near-exact chiral candidate found; treating Gamma as approximate.
0.72,0.1,0.5250321789149852,1.1986582537134605,0.2625160894574926,0.5993291268567302,No near-exact chiral candidate found; treating Gamma as approximate.
0.73,0.1,0.5236561020471701,1.2106768213283519,0.26182805102358503,0.6053384106641759,No near-exact chiral candidate found; treating Gamma as approximate.
0.74,0.1,0.5222589700982734,1.2226071776788359,0.2611294850491367,0.6113035888394179,No near-exact chiral candidate found; treating Gamma as approximate.
0.75,0.1,0.5208405789631446,1.2344267996967353,0.2604202894815723,0.6172133998483676,No near-exact chiral candidate found; treating Gamma as approximate.
0.76,0.1,0.5194007322244861,1.246111965698067,0.25970036611224306,0.6230559828490335,No near-exact chiral candidate found; treating Gamma as approximate.
0.77,0.1,0.5179392431413945,1.2576377965075751,0.25896962157069725,0.6288188982537876,No near-exact chiral candidate found; treating Gamma as approximate.
0.78,0.1,0.5164559367570515,1.2689783127114684,0.25822796837852574,0.6344891563557342,No near-exact chiral candidate found; treating Gamma as approximate.
0.79,0.1,0.5149506521170546,1.280106509292544,0.2574753260585273,0.640053254646272,No near-exact chiral candidate found; treating Gamma as approximate.
0.8,0.1,0.5134232445871313,1.2909944487358056,0.25671162229356564,0.6454972243679028,No near-exact chiral candidate found; treating Gamma as approximate.
