v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,classification
0.1,10,10,374,-9.468823383725225e-11,9.468823383725225e-11,0.44197508393163004,0.55796834201863,5.657404974003997e-05,bulk_or_mixed_state
0.1,10,10,375,-9.468813620778214e-11,9.468813620778214e-11,0.44205104467073164,0.5578943136302641,5.46416990052045e-05,bulk_or_mixed_state
0.1,10,10,376,-9.468810265110377e-11,9.468810265110377e-11,0.44157439973176993,0.5583697610382053,5.583923002357357e-05,bulk_or_mixed_state
0.1,10,10,377,-9.468801482257203e-11,9.468801482257203e-11,0.44165789464205973,0.5582859081427868,5.619721515500131e-05,bulk_or_mixed_state
0.1,10,10,378,-9.444394901058681e-11,9.444394901058681e-11,0.39997144103910925,0.5999685604692774,5.99984916139755e-05,bulk_or_mixed_state
0.1,10,10,379,-9.444387294618566e-11,9.444387294618566e-11,0.40005117787362987,0.5998888306778638,5.999144850687943e-05,bulk_or_mixed_state
0.1,10,10,380,-9.44436676467699e-11,9.44436676467699e-11,0.40012721420697345,0.5998128027733711,5.998301965637542e-05,bulk_or_mixed_state
0.1,10,10,381,-9.444359005837548e-11,9.444359005837548e-11,0.3996645255525839,0.6002754448438086,6.0029603607003936e-05,edge_state
0.1,10,10,382,-9.41680785123345e-11,9.41680785123345e-11,0.4194597885809995,0.5804814016370441,5.8809781955964815e-05,bulk_or_mixed_state
0.1,10,10,383,-9.416806269105233e-11,9.416806269105233e-11,0.4194205950923659,0.5805210306339564,5.837427367798411e-05,bulk_or_mixed_state
0.1,10,10,384,-9.416802205773162e-11,9.416802205773162e-11,0.41961400305128427,0.5803290415575961,5.695539111950758e-05,bulk_or_mixed_state
0.1,10,10,385,-9.416794124722017e-11,9.416794124722017e-11,0.41947468521219256,0.580467267764492,5.804702331421785e-05,bulk_or_mixed_state
0.1,10,10,386,-9.388743612583524e-11,9.388743612583524e-11,0.4311054394334446,0.5688378526194287,5.6707947126090654e-05,bulk_or_mixed_state
0.1,10,10,387,-9.38873750854437e-11,9.38873750854437e-11,0.43096355558049837,0.5689787125846026,5.773183489863476e-05,bulk_or_mixed_state
0.1,10,10,388,-9.388731712119138e-11,9.388731712119138e-11,0.4309985741109821,0.5689451809200413,5.624496897787628e-05,bulk_or_mixed_state
0.1,10,10,389,-9.388729174675937e-11,9.388729174675937e-11,0.431170887515763,0.5687722329318431,5.6879552393213e-05,bulk_or_mixed_state
0.1,10,10,390,-9.363878839370095e-11,9.363878839370095e-11,0.31444478294051154,0.6854821311903043,7.308586918477763e-05,edge_state
0.1,10,10,391,-9.363868417655233e-11,9.363868417655233e-11,0.31439073171332443,0.6855407149069346,6.855337974030952e-05,edge_state
0.1,10,10,392,-9.363868301517758e-11,9.363868301517758e-11,0.31431116592391134,0.6856222723468257,6.656172926215163e-05,edge_state
0.1,10,10,393,-9.363846345413867e-11,9.363846345413867e-11,0.3139833924204019,0.6859505322986843,6.607528091363851e-05,edge_state
0.1,10,10,394,-9.346505964569028e-11,9.346505964569028e-11,0.10690352279135222,0.8930071750624171,8.930214623242845e-05,edge_state
0.1,10,10,395,-9.346489408678819e-11,9.346489408678819e-11,0.10702238284932633,0.8928865048948762,9.111225579839117e-05,edge_state
0.1,10,10,396,-9.346486789253063e-11,9.346486789253063e-11,0.10693157589622232,0.8929809325618061,8.74915419719519e-05,edge_state
0.1,10,10,397,-9.346485632052533e-11,9.346485632052533e-11,0.10687594400617938,0.8930347443683628,8.931162545774836e-05,edge_state
0.1,10,10,398,-4.1048461363357e-16,4.1048461363357e-16,0.9998000130069405,0.00019997699336464446,9.999699298983634e-09,corner_state
0.1,10,10,399,-1.6380307836034317e-16,1.6380307836034317e-16,0.9998000125461086,0.00019997745414678558,9.999745366902161e-09,corner_state
0.1,10,10,400,1.789500339494069e-17,1.789500339494069e-17,0.9998000003456724,0.00019998965336081678,1.0000965524814798e-08,corner_state
0.1,10,10,401,3.791641179525239e-16,3.791641179525239e-16,0.9998000098620399,0.00019998013794869472,1.0000013792673237e-08,corner_state
0.1,10,10,402,9.34646990824102e-11,9.34646990824102e-11,0.10688645534279162,0.8930261765375085,8.736811969987724e-05,edge_state
0.1,10,10,403,9.346475189922789e-11,9.346475189922789e-11,0.10692558645642598,0.89298516011482,8.925342875399977e-05,edge_state
0.1,10,10,404,9.346485085019319e-11,9.346485085019319e-11,0.10692668928424902,0.8929840064644268,8.930425132326129e-05,edge_state
0.1,10,10,405,9.346487890717365e-11,9.346487890717365e-11,0.10684153957617966,0.8930671471645713,9.131325925090835e-05,edge_state
0.1,10,10,406,9.363858819737837e-11,9.363858819737837e-11,0.3147823592072148,0.6851447592381046,7.288155467986418e-05,edge_state
0.1,10,10,407,9.363860249870671e-11,9.363860249870671e-11,0.3145942750936127,0.6853406849680392,6.503993834721126e-05,edge_state
0.1,10,10,408,9.363868364721652e-11,9.363868364721652e-11,0.31414300558578456,0.6857892762117339,6.771820248084721e-05,edge_state
0.1,10,10,409,9.363871245455394e-11,9.363871245455394e-11,0.3145133625578754,0.6854180904117801,6.854703034320984e-05,edge_state
0.1,10,10,410,9.388719222072373e-11,9.388719222072373e-11,0.43100191291972045,0.5689466660433837,5.1421036897012987e-05,bulk_or_mixed_state
0.1,10,10,411,9.388736416855811e-11,9.388736416855811e-11,0.4307841241407008,0.5691549636914864,6.091216781327323e-05,bulk_or_mixed_state
0.1,10,10,412,9.38874089850426e-11,9.38874089850426e-11,0.430552262474934,0.5693907985306557,5.69389944099564e-05,bulk_or_mixed_state
0.1,10,10,413,9.388741013516911e-11,9.388741013516911e-11,0.43111160743762955,0.5688300282075464,5.836435482590436e-05,bulk_or_mixed_state
