v,direction,scan_param,center_index,wannier_center
0.1,y,-1.7453292519943295,3,0.7911259759051396
0.1,y,-1.6677590630168038,0,0.19771880254243238
0.1,y,-1.6677590630168038,1,0.26336025232549765
0.1,y,-1.6677590630168038,2,0.7369042286922496
0.1,y,-1.6677590630168038,3,0.8020167164398199
0.1,y,-1.590188874039278,0,0.2054803389128116
0.1,y,-1.590188874039278,1,0.2793102788971306
0.1,y,-1.590188874039278,2,0.7253704855677885
0.1,y,-1.590188874039278,3,0.789838896622269
0.1,y,-1.5126186850617522,0,0.08318554033469129
0.1,y,-1.5126186850617522,1,0.43357072778817135
0.1,y,-1.5126186850617522,2,0.56947056507882
0.1,y,-1.5126186850617522,3,0.9137731667983163
0.1,y,-1.4350484960842265,0,0.16020665117641797
0.1,y,-1.4350484960842265,1,0.3413917126984129
0.1,y,-1.4350484960842265,2,0.6599565382783732
0.1,y,-1.4350484960842265,3,0.8384450978467959
0.1,y,-1.3574783071067007,0,0.16724206041759718
0.1,y,-1.3574783071067007,1,0.24473121745469817
0.1,y,-1.3574783071067007,2,0.7533297740422942
0.1,y,-1.3574783071067007,3,0.8346969480854108
0.1,y,-1.2799081181291752,0,0.3088512109715286
0.1,y,-1.2799081181291752,1,0.42142324839405076
0.1,y,-1.2799081181291752,2,0.5805379126858784
0.1,y,-1.2799081181291752,3,0.6891876279485418
0.1,y,-1.2023379291516494,0,0.331664932844761
0.1,y,-1.2023379291516494,1,0.4207967505204143
0.1,y,-1.2023379291516494,2,0.5792909973906819
0.1,y,-1.2023379291516494,3,0.6682473192441427
0.1,y,-1.1247677401741236,0,0.21155953302725158
0.1,y,-1.1247677401741236,1,0.39615962254745946
0.1,y,-1.1247677401741236,2,0.6013518324192663
0.1,y,-1.1247677401741236,3,0.7909290120060228
0.1,y,-1.0471975511965979,0,0.29285439990333073
0.1,y,-1.0471975511965979,1,0.37411027947574604
0.1,y,-1.0471975511965979,2,0.6248983125139858
0.1,y,-1.0471975511965979,3,0.7081370081069376
0.1,y,-0.9696273622190721,0,0.16738146422639485
0.1,y,-0.9696273622190721,1,0.4178317770017611
0.1,y,-0.9696273622190721,2,0.582882264185735
0.1,y,-0.9696273622190721,3,0.831904494586109
0.1,y,-0.8920571732415463,0,0.13747615906898014
0.1,y,-0.8920571732415463,1,0.16336795496044948
0.1,y,-0.8920571732415463,2,0.8336322104657545
0.1,y,-0.8920571732415463,3,0.865523675504816
0.1,y,-0.8144869842640206,0,0.1494750697770667
0.1,y,-0.8144869842640206,1,0.3626316933306186
0.1,y,-0.8144869842640206,2,0.6426239454200404
0.1,y,-0.8144869842640206,3,0.8452692914722738
0.1,y,-0.7369167952864948,0,0.2906795492314287
0.1,y,-0.7369167952864948,1,0.4066935767613801
0.1,y,-0.7369167952864948,2,0.5980091168356476
0.1,y,-0.7369167952864948,3,0.7046177571715435
0.1,y,-0.659346606308969,0,0.1112435294288662
0.1,y,-0.659346606308969,1,0.30999938163849095
0.1,y,-0.659346606308969,2,0.6908916898814501
0.1,y,-0.659346606308969,3,0.887865399051192
0.1,y,-0.5817764173314433,0,0.21790145941760647
0.1,y,-0.5817764173314433,1,0.33294088582798087
0.1,y,-0.5817764173314433,2,0.6669023342348894
0.1,y,-0.5817764173314433,3,0.7822553205195234
0.1,y,-0.5042062283539175,0,0.33600061750220167
0.1,y,-0.5042062283539175,1,0.39456201338576685
0.1,y,-0.5042062283539175,2,0.612253393773367
0.1,y,-0.5042062283539175,3,0.6571839753386637
0.1,y,-0.4266360393763917,0,0.09474592398387952
0.1,y,-0.4266360393763917,1,0.28933725321204035
0.1,y,-0.4266360393763917,2,0.7125472749947592
0.1,y,-0.4266360393763917,3,0.9033695478093204
0.1,y,-0.34906585039886595,0,0.14608363800375238
0.1,y,-0.34906585039886595,1,0.2182017253756981
0.1,y,-0.34906585039886595,2,0.7853150259252016
0.1,y,-0.34906585039886595,3,0.850399610695348
0.1,y,-0.2714956614213402,0,0.140612410170254
0.1,y,-0.2714956614213402,1,0.34999618532996685
0.1,y,-0.2714956614213402,2,0.6580320976230306
0.1,y,-0.2714956614213402,3,0.8513593068767488
0.1,y,-0.19392547244381442,0,0.19832104574307083
